X.ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
20150121071732,-74.86599,33.58137,KMHX,Z2,123,125,90,90,1.25
20150121071732,-75.46908,33.25474,KMHX,P2,115,142,100,100,1.5
20150121071732,-75.12948,33.44508,KMHX,N2,118,132,100,100,1.75
20150121072229,-74.82472,33.60089,KMHX,Z2,124,124,100,100,1.25
20150121072229,-75.41892,33.30912,KMHX,P2,114,140,90,100,1.25
20150121072726,-75.36282,33.3048,KMHX,P2,116,139,100,100,1.25
20150121073224,-76.83935,33.00641,KMHX,K3,106,179,90,90,1
20150121073224,-75.37564,33.31757,KMHX,P2,115,139,100,100,1.5
20150121073721,-75.36282,33.3048,KMHX,P2,116,139,100,100,1.5
20150121074217,-76.44923,32.92313,KMHX,Q2,113,169,90,100,1
20150121074217,-75.30612,33.30165,KMHX,P2,118,138,100,100,1.5
20150121074531,-76.34156,32.91337,KLTX,G3,123,121,100,100,1.25
20150121074714,-75.27998,33.27648,KMHX,P2,120,138,100,100,2
20150121075211,-75.23552,33.28729,KMHX,P2,121,137,100,100,1.75
20150121075708,-75.2222,33.27489,KMHX,P2,122,137,100,100,1.25
20150121080205,-75.17745,33.28673,KMHX,P2,123,136,90,100,1
20150121080702,-75.16389,33.27452,KMHX,P2,124,136,90,100,1
20150121080702,-75.84725,32.91023,KMHX,O3,123,155,90,100,1.25
20150121081200,-74.54189,34.08498,KMHX,C4,123,109,90,100,1
20150121081200,-74.71586,33.95546,KMHX,E4,118,114,100,100,1.5
20150121081657,-74.67962,33.94122,KMHX,E4,120,114,100,100,1.5
20150121214306,-73.08688,38.19898,KDOX,G3,117,108,100,100,1
20150121214634,-73.00257,38.29249,KDIX,Z0,119,146,100,100,1
20150121214634,-73.06171,38.1658,KDIX,A1,124,149,90,100,1
20150121214855,-72.97371,38.31553,KDOX,M3,120,104,90,100,1
20150126133856,-76.40441,32.86272,KLTX,M0,122,123,90,100,0.75
20150126134241,-76.38106,32.89232,KLTX,M0,122,122,90,100,1
20150126134600,-76.36408,32.90394,KMHX,J0,115,167,100,100,1.25
20150126134626,-76.34156,32.91337,KLTX,M0,123,121,90,100,1
20150126135125,-76.29191,32.93596,KMHX,J0,114,165,100,100,1
20150126135649,-76.22738,32.9859,KMHX,J0,112,163,100,100,1
20150126140834,-76.10145,33.07445,KMHX,J0,109,159,90,90,1
20150126141426,-76.03887,33.11321,KMHX,J0,108,157,90,90,1
20150127005604,-74.94463,34.2396,KMHX,I0,101,108,90,100,0.75
20150127010128,-74.88764,34.22319,KMHX,I0,104,108,100,100,1
20150127010719,-74.83068,34.20677,KMHX,I0,107,108,100,100,1.5
20150127011809,-74.72319,34.21023,KMHX,M0,112,107,100,100,1.25
20150127012333,-74.66593,34.19455,KMHX,M0,115,107,90,100,1
20150127012829,-74.60869,34.17884,KMHX,M0,118,107,100,100,1.25
20150201210654,-93.06942,31.5047,KSHV,Y9,69,145,90,90,1.5
20150201213118,-91.41879,32.64292,KDGX,S2,76,287,90,100,1.5
20150201213517,-91.33891,32.68968,KDGX,S2,73,290,90,90,1.5
20150201221745,-92.80527,31.29157,KPOE,A5,12,47,90,90,1.5
20150209155049,-81.12539,24.13523,KBYX,Z3,42,131,100,100,2.25
20150209155429,-81.11667,24.14452,KBYX,Z3,42,130,90,90,2
20150209161909,-81.02481,24.14345,KBYX,Z3,46,126,100,100,3.5
20150209162208,-81.03316,24.1269,KAMX,Z6,95,201,100,100,2.25
20150209162248,-81.01012,24.13355,KBYX,Z3,47,126,100,100,4
20150209162654,-80.99543,24.12366,KBYX,Z3,48,126,100,100,3.25
20150209162703,-81.00482,24.11731,KAMX,Z6,95,200,90,100,2
20150209163033,-80.97163,24.12535,KBYX,Z3,49,125,100,100,2.25
20150209163848,-80.93884,24.13979,KBYX,Z3,50,123,90,100,2
20150209164120,-80.93652,24.13133,KAMX,Z6,93,198,90,90,1.75
20150209164254,-80.91482,24.14311,KBYX,Z3,51,122,90,90,1.75
20150209170426,-80.82845,24.11227,KBYX,Z3,56,121,100,100,2.5
20150209170544,-80.82275,24.10177,KAMX,Z6,93,194,100,100,2.25
20150209170848,-80.8129,24.10357,KBYX,Z3,57,121,100,100,3
20150209171040,-80.82275,24.10177,KAMX,Z6,93,194,100,100,2.25
20150209171311,-80.8129,24.10357,KBYX,Z3,57,121,100,100,2.75
20150209171536,-80.79398,24.09552,KAMX,Z6,93,193,100,100,2
20150209171734,-80.78788,24.10939,KBYX,Z3,58,120,100,100,3.25
20150209172032,-80.76511,24.08971,KAMX,Z6,93,192,100,100,3
20150209172157,-80.75645,24.09247,KBYX,Z3,60,120,100,100,4
20150209172527,-80.73613,24.08437,KAMX,Z6,93,191,100,100,2.25
20150209172619,-80.74074,24.08401,KBYX,Z3,61,120,100,100,2.75
20150209173024,-80.73613,24.08437,KAMX,Z6,93,191,100,100,2.75
20150209173040,-80.7152,24.09123,KBYX,Z3,62,119,100,100,3
20150209173924,-80.68347,24.07481,KBYX,Z3,64,119,90,90,2
20150209174346,-80.6676,24.0666,KBYX,Z3,65,119,100,100,2.5
20150209174515,-80.68071,24.05854,KAMX,Z6,94,189,90,90,1.75
20150209174807,-80.65174,24.05838,KBYX,Z3,66,119,100,100,2.75
20150209175013,-80.65116,24.05453,KAMX,Z6,94,188,100,100,2
20150209175230,-80.63588,24.05016,KBYX,Z3,67,119,90,90,2
20150209191605,-85.17748,31.1634,KMXX,L4,88,159,90,90,1
20150209192949,-85.56778,30.70954,KMXX,T4,110,174,90,90,1
20150209195006,-83.6428,32.29478,KMXX,H4,110,97,100,100,1.25
20150209195236,-82.18745,32.86993,KCAE,Y8,84,220,90,90,1
20150209221945,-122.23485,40.43882,KBBX,R5,63,334,90,90,0.75
20150209223949,-83.91913,30.61868,KEOX,X8,94,122,90,90,1.25
20150209224348,-84.35561,31.99803,KEOX,Z9,65,60,90,90,1
20150209224348,-83.90289,30.60963,KEOX,X8,95,122,100,100,1.25
20150209224624,-84.33985,31.97844,KMXX,W6,81,114,90,90,1
20150209225214,-84.30684,31.95524,KEOX,Z9,66,63,90,90,1
20150209225537,-84.28649,31.95743,KMXX,W6,84,114,90,90,0.75
20150210033528,-75.30615,34.53687,KMHX,F1,79,100,90,100,1.25
20150221060837,-95.35485,36.04998,KTUL,B2,23,93,90,90,1
20150227234154,-122.12957,39.60527,KBBX,M0,24,286,100,100,1
20150227234559,-122.11107,39.5943,KBBX,M0,23,285,100,100,1.5
20150227235019,-122.1132,39.58781,KBBX,M0,23,284,100,100,1.5
20150227235425,-122.1132,39.58781,KBBX,M0,23,284,100,100,1.25
20150227235847,-122.09589,39.57136,KBBX,M0,22,282,100,100,1.25
20150228000307,-122.07632,39.56198,KBBX,M0,21,281,100,100,1.25
20150228000727,-122.07898,39.54993,KBBX,M0,21,279,100,100,1
20150228001148,-122.05971,39.53587,KBBX,M0,20,277,100,100,1
20150228010820,-121.62673,39.61268,KBBX,N1,7,2,90,90,0.75
20150228015147,-121.4613,39.62332,KBBX,N1,11,46,100,100,1
20150228020908,-121.35986,39.65997,KBBX,N1,16,52,90,90,0.75
20150228021749,-121.32575,39.68042,KBBX,N1,18,52,90,90,0.75
20150311210445,-77.38446,35.75274,KAKQ,J1,76,194,90,90,1.5
20150311212835,-77.14532,35.70378,KAKQ,J1,77,185,90,90,1.5
20150311213732,-77.03585,35.68247,KAKQ,J1,78,181,90,90,1.5
20150311214201,-76.98015,35.68247,KAKQ,J1,78,179,100,100,2.25
20150311215055,-76.89248,35.63543,KAKQ,J1,81,176,90,90,1.75
20150311215258,-76.87472,35.63116,KRAX,T0,79,91,90,90,1.75
20150311215311,-76.876,35.64394,KMHX,C0,52,0,90,90,1.75
20150311215522,-76.86192,35.62061,KAKQ,J1,82,175,100,100,2
20150311215746,-76.80182,35.6418,KMHX,C0,52,4,90,90,2
20150311215757,-76.81341,35.62945,KRAX,T0,82,91,90,90,1.75
